timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
951972020,951972020,18,42,0,0,0,1514,1437,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952031871,952031871,18,42,0,0,0,1514,1441,1514,1520,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952052272,952052272,18,42,0,0,0,1514,1441,1514,1520,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952132292,952132292,18,42,0,0,0,1514,1443,1514,1530,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952192071,952192071,18,42,0,0,0,1514,1443,1514,1529,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952232074,952232074,18,42,0,0,0,1514,1445,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952292408,952292408,18,42,0,0,0,1514,1445,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952352315,952352315,18,42,0,0,0,1514,1446,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952392255,952392255,18,42,0,0,0,1514,1446,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952452547,952452547,18,42,0,0,0,1514,1445,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952492589,952492589,18,42,0,0,0,1514,1443,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952552372,952552372,18,42,0,0,0,1514,1444,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952612671,952612671,18,42,0,0,0,1514,1446,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952652810,952652810,18,42,0,0,0,1514,1448,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952712528,952712528,18,42,0,0,0,1514,1443,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952773064,952773064,18,42,0,0,0,1514,1443,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952812997,952812997,18,42,0,0,0,1514,1440,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952872832,952872832,18,42,0,0,0,1514,1448,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952912828,952912828,18,42,0,0,0,1514,1445,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
952973204,952973204,18,42,0,0,0,1514,1445,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
953013182,953013182,18,42,0,0,0,1514,1446,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
953073058,953073058,18,42,0,0,0,1514,1443,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
