timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
950656474,15800481,30.6571691,-84.20851950000001,250.62994,914.7182,-78.02244,0.0013574644,-0.0026631723,0.0,0.18171863,3.59026,0.046544436,0.019955408,0.01501895,-0.009971928,0.07579388,-0.8381977,-5.1624093,2.9789867,1.4906554,64.34459,74.76737,-0.046544436,0.19713567,0.61237967,0.12049437,0.12930694,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
950760470,15800481,30.6571691,-84.20851950000001,250.64944,915.097,-78.0241,0.0013574644,-0.0026631723,0.0,0.19342895,3.6121135,0.062256157,0.032689624,0.01501895,-0.009971928,0.07579388,-2.0359766,-1.695282,3.9976282,1.4867305,64.34459,74.769035,-0.062256157,0.19745913,0.61364895,0.12065915,0.12945725,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
950864468,15800481,30.6571691,-84.20851950000001,250.67055,915.4769,-78.02391,0.0013574644,-0.0026631723,0.0,0.21363533,3.616885,0.054997854,0.024347607,0.01501895,-0.009971928,0.07579388,0.15229149,-6.15995,0.6676954,1.4826789,64.34459,74.768845,-0.054997854,0.19774753,0.6137054,0.12073123,0.12952511,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
950967668,15800481,30.6571691,-84.20851950000001,250.69237,915.8554,-78.02315,0.0013574644,-0.0026631723,0.0,0.22459973,3.643112,0.002736058,-0.026658382,0.01501895,-0.009971928,0.07579388,0.82307965,5.275742,-2.860345,1.4806347,64.34459,74.76808,-0.002736058,0.19813643,0.61382186,0.120910116,0.1295993,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
951063674,15800481,30.6571691,-84.20851950000001,250.71286,916.2094,-78.02315,0.0013574644,-0.0026631723,0.0,0.21750942,3.638622,0.014696503,-0.012974818,0.01501895,-0.009971928,0.07579388,-3.7773817,-5.5273647,-3.7141557,1.4765358,64.34459,74.76808,-0.014696503,0.19777009,0.61334115,0.120796084,0.129497,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
951167668,15800481,30.6571691,-84.20851950000001,250.73422,916.59326,-78.02491,0.0013574644,-0.0026631723,0.0,0.21069115,3.631706,0.031510506,0.0019811625,0.01501895,-0.009971928,0.07579388,-2.4543285,-0.80665493,-2.4817464,1.4740497,64.34459,74.769844,-0.031510506,0.19809164,0.61338997,0.12101285,0.12956697,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
951271676,15800481,30.6571691,-84.20851950000001,250.75531,916.9749,-78.02932,0.0013574644,-0.0026631723,0.0,0.21541241,3.6353192,0.0012897989,-0.031605642,0.01501895,-0.009971928,0.07579388,2.6360857,6.1414,0.469339,1.4727949,64.34459,74.774254,-0.0012897989,0.19840133,0.6134948,0.12108051,0.12963328,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
951374868,15800481,30.6571691,-84.20851950000001,250.77594,917.3525,-78.032715,0.0013574644,-0.0026631723,0.0,0.2252042,3.6281383,0.024940256,-0.010138875,0.01501895,-0.009971928,0.07579388,2.6553233,3.027703,0.66997564,1.4736316,64.34459,74.77765,-0.024940256,0.18990006,0.6106495,0.11714514,0.12780534,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
951470868,15800481,30.6571691,-84.20851950000001,250.79607,917.70294,-78.03341,0.0013574644,-0.0026631723,0.0,0.23651929,3.60629,0.026866063,-0.008096617,0.01501895,-0.009971928,0.07579388,-0.34367636,-3.504012,-5.2294188,1.4742069,64.34459,74.77834,-0.026866063,0.1895263,0.61124957,0.116960905,0.12777701,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
951574868,15800481,30.6571691,-84.20851950000001,250.81851,918.0835,-78.03588,0.0013574644,-0.0026631723,0.0,0.24394453,3.61169,0.003948832,-0.03233123,0.01501895,-0.009971928,0.07579388,-1.6555003,-2.7859507,-4.211355,1.4751674,64.34459,74.780815,-0.003948832,0.18988135,0.61134666,0.117125005,0.12784903,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
