timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
576190183,576190068,0.009364937,-0.056444954,-0.011315394,0.35676104,0.0,0.0,0.0,-1.0
576241384,576241307,-0.003732141,-0.044529654,-0.01690605,0.35710636,0.0,0.0,0.0,-1.0
576293349,576293271,0.0018553348,-0.0377926,-0.01790355,0.3569063,0.0,0.0,0.0,-1.0
576345395,576345318,0.00036199554,-0.07029653,-0.023239018,0.36194676,0.0,0.0,0.0,-1.0
576397345,576397268,-0.004768291,-0.0678332,-0.01995763,0.36112204,0.0,0.0,0.0,-1.0
576449362,576449277,0.0019591576,-0.06753137,-0.016979698,0.36626127,0.0,0.0,0.0,-1.0
576500597,576500516,-0.001594144,-0.04621096,-0.019025603,0.36224002,0.0,0.0,0.0,-1.0
576552551,576552468,-0.00095897773,-0.049776386,-0.021766415,0.35932207,0.0,0.0,0.0,-1.0
576604545,576604468,0.008055565,-0.04483118,-0.02413287,0.36527947,0.0,0.0,0.0,-1.0
576656544,576656468,0.0007549033,-0.044842206,-0.023115136,0.3581225,0.0,0.0,0.0,-1.0
576708570,576708496,-8.284037e-05,-0.04636172,-0.019660898,0.35851943,0.0,0.0,0.0,-1.0
576760542,576760468,0.0032939771,-0.0384345,-0.017009858,0.35631773,0.0,0.0,0.0,-1.0
576812545,576812468,0.0017623536,-0.06838986,-0.018013787,0.35988018,0.0,0.0,0.0,-1.0
576863813,576863699,0.002890885,-0.07628386,-0.016764754,0.3673422,0.0,0.0,0.0,-1.0
576915752,576915667,0.010880728,-0.041531477,-0.019066038,0.36315167,0.0,0.0,0.0,-1.0
576967785,576967707,0.0046566348,-0.057445265,-0.017414583,0.36060593,0.0,0.0,0.0,-1.0
577019748,577019668,0.014471099,-0.06708716,-0.011562762,0.36773142,0.0,0.0,0.0,-1.0
577071781,577071677,0.005078367,-0.04800917,-0.0072256257,0.36056945,0.0,0.0,0.0,-1.0
577123745,577123668,0.006558586,-0.054843944,-0.014611583,0.36392125,0.0,0.0,0.0,-1.0
577175756,577175668,0.0077122543,-0.06509575,-0.014539133,0.37170967,0.0,0.0,0.0,-1.0
577226945,577226871,-0.0025468648,-0.07606479,-0.012511882,0.37310097,0.0,0.0,0.0,-1.0
577279022,577278872,0.0063103586,-0.05589239,-0.013473781,0.37270644,0.0,0.0,0.0,-1.0
577330985,577330868,0.009392206,-0.06864428,-0.002848864,0.38919917,0.0,0.0,0.0,-1.0
