timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
526827683,-18.480383,28.49,101547.14,1.206548
526839992,-17.566141,28.49,101536.14,1.2064173
526864037,-18.977139,28.5,101553.164,1.2066196
526875448,-18.813314,28.5,101551.164,1.2065958
526888012,-18.395828,28.5,101546.164,1.2065364
526912065,-18.480383,28.5,101547.164,1.2065483
526924012,-17.899073,28.5,101540.164,1.2064651
526935106,-18.977139,28.5,101553.164,1.2066196
526960123,-18.977139,28.5,101553.164,1.2066196
526972048,-17.650694,28.5,101537.16,1.2064294
526984029,-17.650694,28.5,101537.16,1.2064294
527008925,-19.225517,28.5,101556.16,1.2066551
527020000,-18.89787,28.5,101552.164,1.2066077
527032081,-18.062897,28.5,101542.164,1.2064888
527055262,-17.650694,28.51,101537.18,1.2064297
527068038,-18.982424,28.51,101553.19,1.2066199
527080049,-18.728762,28.51,101550.18,1.2065841
527104106,-18.147451,28.51,101543.18,1.206501
527117321,-17.148653,28.51,101531.18,1.2063583
527131536,-17.983627,28.51,101541.19,1.2064773
527157532,-18.316559,28.51,101545.19,1.2065248
527170967,-18.147451,28.51,101543.18,1.206501
527183095,-18.728762,28.51,101550.18,1.2065841
527210787,-17.650694,28.51,101537.18,1.2064297
527223059,-17.899073,28.51,101540.19,1.2064654
527237156,-17.402317,28.51,101534.19,1.2063941
527262967,-17.735249,28.51,101538.19,1.2064416
527276570,-18.401114,28.51,101546.19,1.2065367
527290942,-18.147451,28.51,101543.18,1.206501
527315052,-17.566141,28.5,101536.164,1.2064176
527326292,-17.729963,28.5,101538.164,1.2064414
527339066,-18.395828,28.5,101546.164,1.2065364
527364721,-17.814518,28.5,101539.164,1.2064532
527377950,-17.729963,28.5,101538.164,1.2064414
527391131,-18.062897,28.5,101542.164,1.2064888
527415067,-17.983627,28.5,101541.164,1.206477
527426653,-17.402317,28.5,101534.164,1.2063938
527439066,-17.983627,28.5,101541.164,1.206477
527466152,-17.650694,28.51,101537.18,1.2064297
527478440,-17.650694,28.51,101537.18,1.2064297
527492566,-17.402317,28.51,101534.19,1.2063941
527518383,-18.147451,28.51,101543.18,1.206501
527532390,-17.069384,28.51,101530.19,1.2063466
527546285,-17.48687,28.51,101535.19,1.206406
527572394,-16.572628,28.51,101524.19,1.2062753
527587032,-18.232004,28.51,101544.18,1.2065128
527599847,-17.814518,28.51,101539.19,1.2064536
527626037,-16.98483,28.51,101529.19,1.2063347
527638331,-17.814518,28.51,101539.19,1.2064536
527652642,-16.821007,28.51,101527.19,1.206311
527679647,-17.317762,28.5,101533.164,1.2063819
527693650,-17.317762,28.5,101533.164,1.2063819
527706108,-16.651897,28.5,101525.16,1.2062868
527733877,-17.148653,28.51,101531.18,1.2063583
527746140,-16.90556,28.51,101528.19,1.2063228
527759755,-17.735249,28.51,101538.19,1.2064416
527788915,-17.233208,28.5,101532.164,1.2063701
527801420,-16.48279,28.5,101523.164,1.2062632
527814432,-17.317762,28.5,101533.164,1.2063819
527842157,-16.48279,28.5,101523.164,1.2062632
527854405,-17.069384,28.5,101530.164,1.2063463
527871236,-16.40352,28.5,101522.164,1.2062513
527897467,-16.567343,28.5,101524.164,1.206275
527911432,-16.900276,28.5,101528.164,1.2063226
527925318,-16.98483,28.5,101529.164,1.2063345
527952818,-16.48279,28.5,101523.164,1.2062632
