timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
924923920,inf,0,0,0,0,0
925929317,inf,0,0,0,0,0
926939262,inf,0,0,0,0,0
927945618,inf,0,0,0,0,0
928965335,inf,0,0,0,0,0
929979041,inf,0,0,0,0,0
930985159,inf,0,0,0,0,0
932002265,inf,0,0,0,0,0
933004267,inf,0,0,0,0,0
934012586,inf,0,0,0,0,0
935031322,inf,0,0,0,0,0
936039303,inf,0,0,0,0,0
937058720,inf,0,0,0,0,0
938067827,inf,0,0,0,0,0
939081620,inf,0,0,0,0,0
940090284,inf,0,0,0,0,0
941096288,inf,0,0,0,0,0
942100272,inf,0,0,0,0,0
943110265,inf,0,0,0,0,0
944123367,inf,0,0,0,0,0
945140319,inf,0,0,0,0,0
946158384,inf,0,0,0,0,0
947161638,inf,0,0,0,0,0
948161733,inf,0,0,0,0,0
949179272,inf,0,0,0,0,0
950179338,inf,0,0,0,0,0
951181379,inf,0,0,0,0,0
952185620,inf,0,0,0,0,0
953189322,inf,0,0,0,0,0
954206293,inf,0,0,0,0,0
955208262,inf,0,0,0,0,0
956211285,inf,0,0,0,0,0
957216301,inf,0,0,0,0,0
958225351,inf,0,0,0,0,0
959234490,inf,0,0,0,0,0
960241727,inf,0,0,0,0,0
961251714,inf,0,0,0,0,0
962258670,inf,0,0,0,0,0
963264277,inf,0,0,0,0,0
964264634,inf,0,0,0,0,0
965273348,inf,0,0,0,0,0
966277739,inf,0,0,0,0,0
967278348,inf,0,0,0,0,0
968278695,inf,0,0,0,0,0
969296593,inf,0,0,0,0,0
970314366,inf,0,0,0,0,0
971326325,inf,0,0,0,0,0
972339732,inf,0,0,0,0,0
973360268,inf,0,0,0,0,0
974368045,inf,0,0,0,0,0
975380584,inf,0,0,0,0,0
976388291,inf,0,0,0,0,0
977389322,inf,0,0,0,0,0
978398457,inf,0,0,0,0,0
979409701,inf,0,0,0,0,0
980426274,inf,0,0,0,0,0
981431255,inf,0,0,0,0,0
982439535,inf,0,0,0,0,0
983450271,inf,0,0,0,0,0
984451270,inf,0,0,0,0,0
985456921,inf,0,0,0,0,0
986466189,inf,0,0,0,0,0
987478380,inf,0,0,0,0,0
988491259,inf,0,0,0,0,0
989504299,inf,0,0,0,0,0
990509194,inf,0,0,0,0,0
991527275,inf,0,0,0,0,0
992531267,inf,0,0,0,0,0
993537342,inf,0,0,0,0,0
994551262,inf,0,0,0,0,0
995562528,inf,0,0,0,0,0
996568557,inf,0,0,0,0,0
997576286,inf,0,0,0,0,0
998595016,inf,0,0,0,0,0
999595544,inf,0,0,0,0,0
1000602780,inf,0,0,0,0,0
1001613080,inf,0,0,0,0,0
1002626266,inf,0,0,0,0,0
1003627959,inf,0,0,0,0,0
1004642262,inf,0,0,0,0,0
1005661487,inf,0,0,0,0,0
1006680324,inf,0,0,0,0,0
1007686333,inf,0,0,0,0,0
1008690943,inf,0,0,0,0,0
1009693329,inf,0,0,0,0,0
1010708555,inf,0,0,0,0,0
1011728281,inf,0,0,0,0,0
1012730457,inf,0,0,0,0,0
1013750265,inf,0,0,0,0,0
1014771986,inf,0,0,0,0,0
1015790263,inf,0,0,0,0,0
1016803268,inf,0,0,0,0,0
1017807529,inf,0,0,0,0,0
1018809671,inf,0,0,0,0,0
1019811273,inf,0,0,0,0,0
1020826629,inf,0,0,0,0,0
1021842181,inf,0,0,0,0,0
1022856319,inf,0,0,0,0,0
1023874262,inf,0,0,0,0,0
1024880275,inf,0,0,0,0,0
1025882430,inf,0,0,0,0,0
1026883262,inf,0,0,0,0,0
1027884310,inf,0,0,0,0,0
1028889075,inf,0,0,0,0,0
1029889841,inf,0,0,0,0,0
1030911243,inf,0,0,0,0,0
1031930262,inf,0,0,0,0,0
1032944268,inf,0,0,0,0,0
1033949317,inf,0,0,0,0,0
1034958262,inf,0,0,0,0,0
1035962298,inf,0,0,0,0,0
1036972283,inf,0,0,0,0,0
1037986712,inf,0,0,0,0,0
1038994136,inf,0,0,0,0,0
1040009368,inf,0,0,0,0,0
1041027268,inf,0,0,0,0,0
1042032759,inf,0,0,0,0,0
1043034358,inf,0,0,0,0,0
1044040348,inf,0,0,0,0,0
1045047906,inf,0,0,0,0,0
1046053352,inf,0,0,0,0,0
1047062265,inf,0,0,0,0,0
1048063842,inf,0,0,0,0,0
1049072262,inf,0,0,0,0,0
1050088280,inf,0,0,0,0,0
1051105543,inf,0,0,0,0,0
1052121960,inf,0,0,0,0,0
1053141317,inf,0,0,0,0,0
1054158296,inf,0,0,0,0,0
1055178266,inf,0,0,0,0,0
1056194262,inf,0,0,0,0,0
1057202677,inf,0,0,0,0,0
1058213604,inf,0,0,0,0,0
1059220653,inf,0,0,0,0,0
1060222797,inf,0,0,0,0,0
1061223311,inf,0,0,0,0,0
1062243317,inf,0,0,0,0,0
1063257694,inf,0,0,0,0,0
1064277335,inf,0,0,0,0,0
1065296068,inf,0,0,0,0,0
1066296352,inf,0,0,0,0,0
1067297352,inf,0,0,0,0,0
1068300319,inf,0,0,0,0,0
1069321360,inf,0,0,0,0,0
1070341340,inf,0,0,0,0,0
1071360302,inf,0,0,0,0,0
1072360307,inf,0,0,0,0,0
1073365381,inf,0,0,0,0,0
1074382274,inf,0,0,0,0,0
1075392858,inf,0,0,0,0,0
1076409858,inf,0,0,0,0,0
1077425314,inf,0,0,0,0,0
1078441630,inf,0,0,0,0,0
1079461526,inf,0,0,0,0,0
1080480326,inf,0,0,0,0,0
1081497183,inf,0,0,0,0,0
1082515463,inf,0,0,0,0,0
1083533335,inf,0,0,0,0,0
1084541401,inf,0,0,0,0,0
1085545801,inf,0,0,0,0,0
1086553833,inf,0,0,0,0,0
1087569035,inf,0,0,0,0,0
1088582915,inf,0,0,0,0,0
1089585922,inf,0,0,0,0,0
1090600287,inf,0,0,0,0,0
1091618266,inf,0,0,0,0,0
1092634763,inf,0,0,0,0,0
1093638504,inf,0,0,0,0,0
1094642313,inf,0,0,0,0,0
1095656934,inf,0,0,0,0,0
1096664323,inf,0,0,0,0,0
1097683262,inf,0,0,0,0,0
1098702386,inf,0,0,0,0,0
1099725101,inf,0,0,0,0,0
1100730275,inf,0,0,0,0,0
1101738265,inf,0,0,0,0,0
1102740116,inf,0,0,0,0,0
1103743290,inf,0,0,0,0,0
1104747463,inf,0,0,0,0,0
1105754474,inf,0,0,0,0,0
1106771028,inf,0,0,0,0,0
1107771079,inf,0,0,0,0,0
1108785956,inf,0,0,0,0,0
1109797716,inf,0,0,0,0,0
1110802267,inf,0,0,0,0,0
1111815273,inf,0,0,0,0,0
1112822968,inf,0,0,0,0,0
1113842272,inf,0,0,0,0,0
1114846268,inf,0,0,0,0,0
1115853322,inf,0,0,0,0,0
1116864614,inf,0,0,0,0,0
1117872078,inf,0,0,0,0,0
1118888321,inf,0,0,0,0,0
1119898140,inf,0,0,0,0,0
1120912262,inf,0,0,0,0,0
1121912304,inf,0,0,0,0,0
1122918178,inf,0,0,0,0,0
1123933733,inf,0,0,0,0,0
1124946299,inf,0,0,0,0,0
1125958274,inf,0,0,0,0,0
1126978269,inf,0,0,0,0,0
1127983270,inf,0,0,0,0,0
1129000037,inf,0,0,0,0,0
1130016383,inf,0,0,0,0,0
1131019269,inf,0,0,0,0,0
1132024241,inf,0,0,0,0,0
1133031270,inf,0,0,0,0,0
1134051266,inf,0,0,0,0,0
1135066272,inf,0,0,0,0,0
1136074262,inf,0,0,0,0,0
1137076343,inf,0,0,0,0,0
1138094301,inf,0,0,0,0,0
1139100314,inf,0,0,0,0,0
1140109596,inf,0,0,0,0,0
1141111148,inf,0,0,0,0,0
1142118302,inf,0,0,0,0,0
1143133324,inf,0,0,0,0,0
1144137352,inf,0,0,0,0,0
1145143764,inf,0,0,0,0,0
1146148594,inf,0,0,0,0,0
1147167269,inf,0,0,0,0,0
1148171757,inf,0,0,0,0,0
1149186268,inf,0,0,0,0,0
1150186680,inf,0,0,0,0,0
1151193629,inf,0,0,0,0,0
1152201879,inf,0,0,0,0,0
1153209655,inf,0,0,0,0,0
1154213357,inf,0,0,0,0,0
1155218319,inf,0,0,0,0,0
1156236262,inf,0,0,0,0,0
1157238179,inf,0,0,0,0,0
1158241828,inf,0,0,0,0,0
1159245317,inf,0,0,0,0,0
1160246272,inf,0,0,0,0,0
1161252265,inf,0,0,0,0,0
1162266312,inf,0,0,0,0,0
1163278287,inf,0,0,0,0,0
