timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1217394074,-0.0024463793,-0.008052763,-0.019007418,0.9267278,0.014246494,0.02637627,0.37453592,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217426067,0.065819815,0.0075374926,0.06815431,0.92663395,0.01437582,0.025410127,0.37482965,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217458068,0.29807806,0.15390074,0.19576849,0.92656326,0.014534889,0.024676198,0.37504715,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217490070,0.25905052,0.19526511,0.25443327,0.9264573,0.014723918,0.02419554,0.37533307,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217522068,0.22282635,0.17652579,0.13245949,0.92643654,0.01466657,0.023630176,0.37542212,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217554068,0.18049748,-0.053613376,-0.104095,0.9264434,0.014537802,0.023099767,0.37544337,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217586075,-0.12250684,-0.15793496,-0.04301985,0.9263383,0.014111299,0.022819282,0.37573594,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217618106,-0.16727088,-0.02813576,0.093936205,0.9262539,0.014293637,0.023261702,0.37591004,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217649272,-0.058177568,0.16602644,0.045817766,0.92608106,0.014433672,0.02412367,0.37627614,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217681273,0.25264496,0.087544955,0.07120286,0.9258679,0.014532431,0.024711978,0.37675828,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217713277,0.30472395,0.14196272,0.12728594,0.9257527,0.014056867,0.025330145,0.3770183,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217745272,0.13427316,0.24530312,0.10239931,0.9256342,0.013348427,0.025594207,0.37731725,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217777271,0.118111536,0.13855016,0.07894248,0.9255515,0.01297633,0.025685323,0.37752676,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217809302,0.14147446,-0.019742884,0.00687636,0.92551017,0.012504325,0.025729569,0.37764096,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217841274,-0.037982475,-0.13888165,-0.1388615,0.92548805,0.011543616,0.02564719,0.3777313,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217873296,-0.16419607,-0.1444956,-0.17903966,0.92537916,0.010874022,0.025656184,0.37801725,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217905270,-0.2821432,-0.014287329,-0.051716074,0.9252497,0.010285429,0.025668688,0.3783495,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217937270,-0.35999173,0.19170569,0.059612375,0.9252011,0.009923885,0.025624156,0.37848112,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217969288,-0.020145781,-0.019310506,-0.013147719,0.9252267,0.010306987,0.025391744,0.37842396,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218000468,0.04546075,0.051037632,-0.08540776,0.92511714,0.010162232,0.02572115,0.37867334,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218032488,-0.2523137,0.09192112,-0.004688259,0.9250339,0.009735804,0.025989518,0.37886965,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218064468,-0.1962076,-0.1458581,-0.12945831,0.9250943,0.009875715,0.026567392,0.37867814,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218096498,-0.19335003,0.07723739,-0.06760316,0.9250231,0.009807337,0.027385604,0.3787957,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218128468,0.14674996,0.082872994,0.09099263,0.92493314,0.009900499,0.027744293,0.37898672,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218160468,0.22623299,0.05140812,0.09539565,0.92497796,0.009806133,0.028184917,0.37884727,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218192468,0.17726357,0.051231284,0.040723886,0.9250588,0.0096271485,0.02868809,0.3786168,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218224468,0.18356219,-0.002950606,0.07445679,0.92505294,0.009323599,0.02873244,0.37863532,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218256468,0.2571349,-0.024559636,0.07196719,0.92505866,0.009118945,0.028123941,0.37867194,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218288468,0.16669042,-0.007402771,0.013790007,0.92507744,0.008981911,0.027503248,0.37867498,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218319668,0.07173344,-0.106628716,-0.08788947,0.9250699,0.009014088,0.026873564,0.37873775,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218351678,-0.11946975,-0.22194736,-0.029903019,0.9250547,0.00931075,0.026508197,0.37879336,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218383668,-0.09055292,-0.27944353,0.02345264,0.9251713,0.009450539,0.026207991,0.378526,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218415668,-0.13845855,-0.0048433496,-0.064119786,0.9252725,0.009186974,0.026344135,0.3782756,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218447668,0.374023,-0.06450331,0.0029449374,0.9252525,0.009931746,0.02642398,0.37830037,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218479687,0.2600534,0.2440108,0.0983275,0.92528725,0.009817663,0.026450608,0.37821618,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218511698,-0.0076698456,0.04729122,0.003837619,0.9254019,0.009891885,0.026409108,0.3779366,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218543668,-0.09469266,-0.081146844,-0.13284154,0.9254559,0.009855811,0.026787976,0.37777856,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1218575668,-0.11375589,-0.1238325,-0.19237722,0.92543787,0.0101113785,0.027299725,0.37777925,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
